level	name	family	seqlen	tflops	ms	status	ratio_prev	ratio_ck	description
13	per_seqlen_kt_diag_dispatch	dispatch	16384	106.0	5.1886	OK	0.000	0.752	Per-seqlen (KT,DIAG) dispatch over the log2dom base = CURRENT BEST. Per shape: sq<=1024 KT64/DIAG0; sq<=2048 KT64/DIAG1; sq<=16384 KT32/DIAG0; else KT32/DIAG1. NOTE: kernels/fmha_prefill_fp8_dispatch.py currently dispatches over ck_hk5, not log2dom — use --base to pick the underlying module.
0	baseline_naive_fp8	baseline	1024	11.0	0.1962	OK	0.000	0.367	Correctness-first BM=32, 1 wave (64 thr). LDS P-transpose scratch. The reference point; everything below is measured as a ratio to the previous level.
0	baseline_naive_fp8	baseline	2048	17.0	0.5128	OK	0.000	0.274	Correctness-first BM=32, 1 wave (64 thr). LDS P-transpose scratch. The reference point; everything below is measured as a ratio to the previous level.
0	baseline_naive_fp8	baseline	16384	28.0	19.5232	OK	0.000	0.199	Correctness-first BM=32, 1 wave (64 thr). LDS P-transpose scratch. The reference point; everything below is measured as a ratio to the previous level.
0	baseline_naive_fp8	baseline	32768	29.0	76.0815	OK	0.000	0.199	Correctness-first BM=32, 1 wave (64 thr). LDS P-transpose scratch. The reference point; everything below is measured as a ratio to the previous level.
1	multiwave_bm128_4wave	throughput	1024	15.0	0.1417	OK	1.364	0.500	BM=128, 4 waves/256 thr. A/B: FMHA_NWAVES in {2,8} vs 4 on the SAME module (NWAVES!=4 is a measured dead-end). Better occupancy/latency-hiding than 256x128/8-wave.
1	multiwave_bm128_4wave	throughput	2048	20.0	0.4234	OK	1.176	0.323	BM=128, 4 waves/256 thr. A/B: FMHA_NWAVES in {2,8} vs 4 on the SAME module (NWAVES!=4 is a measured dead-end). Better occupancy/latency-hiding than 256x128/8-wave.
1	multiwave_bm128_4wave	throughput	16384	47.0	11.7728	OK	1.679	0.333	BM=128, 4 waves/256 thr. A/B: FMHA_NWAVES in {2,8} vs 4 on the SAME module (NWAVES!=4 is a measured dead-end). Better occupancy/latency-hiding than 256x128/8-wave.
1	multiwave_bm128_4wave	throughput	32768	53.0	41.5123	OK	1.828	0.363	BM=128, 4 waves/256 thr. A/B: FMHA_NWAVES in {2,8} vs 4 on the SAME module (NWAVES!=4 is a measured dead-end). Better occupancy/latency-hiding than 256x128/8-wave.
2	coop_kv_to_lds	structural	1024	15.0	0.1418	OK	1.000	0.500	Cooperative K/V -> LDS double-buffered (ping-pong) tile load. EMBEDDED in 8wave; no clean standalone flag A/B (it is the load path). Documented; reproduced as 8wave.
